0 1 2
0 2 9
0 3 8
0 4 10
0 5 4
0 6 10
0 7 7
0 8 4
0 9 1
1 0 2
1 2 6
1 3 2
1 4 3
1 5 8
1 6 3
1 7 7
1 8 9
1 9 10
2 0 9
2 1 6
2 3 6
2 4 3
2 5 10
2 6 1
2 7 5
2 8 11
2 9 10
3 0 8
3 1 2
3 2 6
3 4 4
3 5 11
3 6 8
3 7 4
3 8 6
3 9 1
4 0 10
4 1 3
4 2 3
4 3 4
4 5 4
4 6 3
4 7 8
4 8 5
4 9 11
5 0 4
5 1 8
5 2 10
5 3 11
5 4 4
5 6 2
5 7 2
5 8 6
5 9 11
6 0 10
6 1 3
6 2 1
6 3 8
6 4 3
6 5 2
6 7 3
6 8 8
6 9 9
7 0 7
7 1 7
7 2 5
7 3 4
7 4 8
7 5 2
7 6 3
7 8 11
7 9 2
8 0 4
8 1 9
8 2 11
8 3 6
8 4 5
8 5 6
8 6 8
8 7 11
8 9 4
9 0 1
9 1 10
9 2 10
9 3 1
9 4 11
9 5 11
9 6 9
9 7 2
9 8 4
